,prof_domain,type,speciality,idustry_code,edu_group_code,speciality_id,edu_group,edu_group_id
120,Авиастроение и космическая отрасль,СПО,Механик,aircraft_engineering,24,18,Авиационная и ракетно-космическая техника (СПО),9
121,Авиастроение и космическая отрасль,СПО,Монтажник,aircraft_engineering,24,1,Авиационная и ракетно-космическая техника (СПО),9
123,Авиастроение и космическая отрасль,СПО,Слесарь,aircraft_engineering,15,5,Машиностроение (СПО),3
124,Авиастроение и космическая отрасль,СПО,Сварщик,aircraft_engineering,15,11,Машиностроение (СПО),3
125,Авиастроение и космическая отрасль,СПО,"Токарь, фрезеровщик, шлифовщик",aircraft_engineering,15,13,Машиностроение (СПО),3
128,Авиастроение и космическая отрасль,СПО,Мастер по ремонту оборудования,aircraft_engineering,24,3,Авиационная и ракетно-космическая техника (СПО),9
129,Авиастроение и космическая отрасль,СПО,Инженер-конструктор,aircraft_engineering,24,10,Авиационная и ракетно-космическая техника (СПО),9
130,Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,aircraft_engineering,24,15,Авиационная и ракетно-космическая техника (ВПО),10
134,Авиастроение и космическая отрасль,ВПО,Специалист по сертификации,aircraft_engineering,27,16,Управление в технических системах (ВПО),5
135,Авиастроение и космическая отрасль,ВПО,Технолог,aircraft_engineering,24,8,Авиационная и ракетно-космическая техника (ВПО),10
136,Авиастроение и космическая отрасль,ВПО,Инженер по качеству,aircraft_engineering,27,17,Управление в технических системах (ВПО),5
137,Цветная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,22,0,Технологии материалов (СПО),11
143,Цветная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,18,0,Химические технологии (СПО),12
144,Цветная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,22,14,Технологии материалов (СПО),11
145,Цветная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,15,14,Машиностроение (СПО),3
146,Цветная металлургия,СПО,Машинист,non_ferrous_metallurgy,22,2,Технологии материалов (СПО),11
147,Цветная металлургия,СПО,Машинист,non_ferrous_metallurgy,18,2,Химические технологии (СПО),12
149,Цветная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,22,4,Технологии материалов (СПО),11
153,Цветная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,15,4,Машиностроение (СПО),3
154,Цветная металлургия,СПО,Слесарь,non_ferrous_metallurgy,15,5,Машиностроение (СПО),3
155,Цветная металлургия,СПО,Сварщик,non_ferrous_metallurgy,22,11,Технологии материалов (СПО),11
156,Цветная металлургия,СПО,Сварщик,non_ferrous_metallurgy,15,11,Машиностроение (СПО),3
157,Цветная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",non_ferrous_metallurgy,15,13,Машиностроение (СПО),3
160,Цветная металлургия,ВПО,Инженер по эксплуатации,non_ferrous_metallurgy,22,19,Технологии материалов (ВПО),13
162,Цветная металлургия,ВПО,Специалист по сертификации,non_ferrous_metallurgy,27,16,Управление в технических системах (ВПО),5
163,Цветная металлургия,ВПО,Технолог,non_ferrous_metallurgy,22,8,Технологии материалов (ВПО),13
164,Цветная металлургия,ВПО,Инженер по качеству,non_ferrous_metallurgy,27,17,Управление в технических системах (ВПО),5
165,Черная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,22,0,Технологии материалов (СПО),11
170,Черная металлургия,СПО,"Оператор, аппаратчик",non_ferrous_metallurgy,18,0,Химические технологии (СПО),12
171,Черная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,22,14,Технологии материалов (СПО),11
172,Черная металлургия,СПО,Контролер ОТК,non_ferrous_metallurgy,15,14,Машиностроение (СПО),3
173,Черная металлургия,СПО,Машинист,non_ferrous_metallurgy,22,2,Технологии материалов (СПО),11
174,Черная металлургия,СПО,Машинист,non_ferrous_metallurgy,18,2,Химические технологии (СПО),12
176,Черная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,22,4,Технологии материалов (СПО),11
180,Черная металлургия,СПО,Разнорабочий,non_ferrous_metallurgy,15,4,Машиностроение (СПО),3
181,Черная металлургия,СПО,Слесарь,non_ferrous_metallurgy,15,5,Машиностроение (СПО),3
182,Черная металлургия,СПО,Сварщик,non_ferrous_metallurgy,22,11,Технологии материалов (СПО),11
183,Черная металлургия,СПО,Сварщик,non_ferrous_metallurgy,15,11,Машиностроение (СПО),3
184,Черная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",non_ferrous_metallurgy,15,13,Машиностроение (СПО),3
187,Черная металлургия,ВПО,Инженер по эксплуатации,non_ferrous_metallurgy,22,19,Технологии материалов (ВПО),13
189,Черная металлургия,ВПО,Специалист по сертификации,non_ferrous_metallurgy,27,16,Управление в технических системах (ВПО),5
190,Черная металлургия,ВПО,Технолог,non_ferrous_metallurgy,22,8,Технологии материалов (ВПО),13
191,Черная металлургия,ВПО,Инженер по качеству,non_ferrous_metallurgy,27,17,Управление в технических системах (ВПО),5
192,Химическая промышленность,СПО,"Оператор, аппаратчик",chemical,18,0,Химические технологии (СПО),12
199,Химическая промышленность,СПО,Контролер ОТК,chemical,18,14,Химические технологии (СПО),12
200,Химическая промышленность,СПО,Лаборант,chemical,18,20,Химические технологии (СПО),12
204,Химическая промышленность,ВПО,Исследователь,chemical,18,21,Химические технологии (ВПО),14
205,Химическая промышленность,ВПО,Специалист по сертификации,chemical,27,16,Управление в технических системах (ВПО),5
206,Химическая промышленность,ВПО,Инженер по качеству,chemical,27,17,Управление в технических системах (ВПО),5
207,Химическая промышленность,ВПО,Технолог,chemical,18,8,Химические технологии (ВПО),14
209,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,33,0,Фармация (СПО),15
210,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,18,0,Химические технологии (СПО),12
211,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,19,0,Промышленная экология и биотехнологии (СПО),16
212,Фармацевтика,СПО,Лаборант,pharma,21,20,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
213,Фармацевтика,СПО,Лаборант,pharma,18,20,Химические технологии (СПО),12
216,Фармацевтика,СПО,Лаборант,pharma,19,20,Промышленная экология и биотехнологии (СПО),16
218,Фармацевтика,ВПО,Специалист по сертификации,pharma,27,16,Управление в технических системах (ВПО),5
219,Фармацевтика,ВПО,Технолог,pharma,33,8,Фармация (ВПО),17
220,Фармацевтика,ВПО,Технолог,pharma,18,8,Химические технологии (ВПО),14
221,Фармацевтика,ВПО,Технолог,pharma,4,8,Химия (ВПО),18
222,Фармацевтика,ВПО,Технолог,pharma,6,8,Биологические науки (ВПО),19
223,Фармацевтика,ВПО,Инженер по качеству,pharma,27,17,Управление в технических системах (ВПО),5
224,Фармацевтика,ВПО,Исследователь,pharma,18,21,Химические технологии (ВПО),14
225,Фармацевтика,ВПО,Исследователь,pharma,4,21,Химия (ВПО),18
226,Фармацевтика,ВПО,Исследователь,pharma,6,21,Биологические науки (ВПО),19
227,Фармацевтика,ВПО,Исследователь,pharma,33,21,Фармация (ВПО),17
228,Электроника и микроэлектроника,СПО,Механик,electronics,11,18,"Электроника, радиотехника и системы связи (СПО)",20
229,Электроника и микроэлектроника,СПО,Монтажник,electronics,11,1,"Электроника, радиотехника и системы связи (СПО)",20
232,Электроника и микроэлектроника,СПО,Контролер ОТК,electronics,18,14,Химические технологии (СПО),12
233,Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",electronics,11,0,"Электроника, радиотехника и системы связи (СПО)",20
235,Электроника и микроэлектроника,СПО,"Оператор, аппаратчик",electronics,15,0,Машиностроение (СПО),3
237,Электроника и микроэлектроника,СПО,Сварщик,electronics,15,11,Машиностроение (СПО),3
239,Электроника и микроэлектроника,СПО,Электромонтажник,electronics,11,22,"Электроника, радиотехника и системы связи (СПО)",20
242,Электроника и микроэлектроника,СПО,Разнорабочий,electronics,11,4,"Электроника, радиотехника и системы связи (СПО)",20
245,Электроника и микроэлектроника,ВПО,Инженер-конструктор,electronics,11,10,"Электроника, радиотехника и системы связи (ВПО)",21
247,Электроника и микроэлектроника,ВПО,Специалист по сертификации,electronics,27,16,Управление в технических системах (ВПО),5
248,Электроника и микроэлектроника,ВПО,Технолог,electronics,11,8,"Электроника, радиотехника и системы связи (ВПО)",21
250,Электроника и микроэлектроника,ВПО,Инженер по качеству,electronics,27,17,Управление в технических системах (ВПО),5
