,city,18,19,21,27,33,4,6,coordinates
76,Бирюч,,,,79.0,,,,"[38.40023, 50.649337]"
77,Благовещенка,,65.0,58.0,,,,,"[79.868718, 52.833975]"
78,Благовещенск,1346.0,5425.0,4577.0,91.0,359.0,1337.0,1163.0,"[55.955224, 55.049854]"
79,Благовещенск,1346.0,5425.0,4577.0,91.0,359.0,1337.0,1163.0,"[127.534611, 50.257456]"
80,Благодарный,,121.0,,,,,,"[43.44003, 45.095656]"
81,Богданович,62.0,,,,,,,"[62.057129, 56.773977]"
82,Богородицк,,61.0,88.0,,,,,"[38.131696, 53.770699]"
83,Богучаны,,39.0,,,,,,"[97.445128, 58.379901]"
84,Бодайбо,,,133.0,,,,,"[114.199867, 57.847975]"
85,Болгар,,62.0,,,,,,"[49.022628, 54.982239]"
86,Большая Атня,,52.0,,,,,,"[49.451978, 56.250707]"
87,Большая Глушица,,,49.0,,,,,"[50.471907, 52.392769]"
88,Большое Болдино,,30.0,,,,,,"[45.310861, 55.00359]"
89,Большое Нагаткино,,47.0,,,,,,"[47.97415, 54.515946]"
90,Большой Камень,,,,131.0,,,,"[132.350345, 43.111725]"
91,Бор,,113.0,,,,,,"[44.064575, 56.356522]"
92,Бор,,113.0,,,,,,"[33.792357, 59.473563]"
93,Борзя,,103.0,,,,,,"[116.527042, 50.391551]"
94,Борисоглебск,,108.0,128.0,,234.0,,,"[42.075183, 51.366308]"
95,Борисоглебский,,64.0,,,,,,"[39.153323, 57.260969]"
96,Боровичи,105.0,,,,113.0,,,"[33.910459, 58.390115]"
97,Бочкари,,75.0,,,,,,"[85.764433, 52.884926]"
98,Братск,120.0,156.0,,588.0,455.0,,,"[101.633505, 56.151682]"
99,Брюховецкая,,94.0,224.0,,,,,"[38.997295, 45.802003]"
100,Брянск,263.0,1182.0,766.0,2190.0,1160.0,623.0,953.0,"[34.363991, 53.2434]"
101,Бугульма,575.0,181.0,277.0,,189.0,,,"[52.798634, 54.541877]"
102,Бугуруслан,,,426.0,,,,,"[52.432606, 53.6523]"
103,Буденновск,89.0,103.0,,,23.0,,,"[44.165024, 44.781528]"
104,Бузулук,,,564.0,,271.0,,210.0,"[52.263292, 52.787097]"
105,Буй,,,120.0,,,,,"[41.533113, 58.481724]"
106,Бутурлиновка,,180.0,,,,,,"[40.584825, 50.835367]"
107,Вахруши,,65.0,,,,,,"[50.026415, 58.684661]"
108,Великие Луки,,,,,154.0,,,"[30.515671, 56.343703]"
109,Великий Новгород,171.0,30.0,351.0,60.0,1136.0,777.0,1053.0,"[31.269816, 58.522857]"
110,Великий Устюг,,84.0,,,,,,"[46.297849, 60.761156]"
111,Великое,,,35.0,,,,,"[39.773924, 57.349073]"
112,Вельск,,72.0,68.0,,,,,"[42.10331, 61.065915]"
113,Верещагино,,146.0,,,,,,"[54.658092, 58.079766]"
114,Верхнеднепровский,59.0,,,,,,,"[33.344969, 54.981397]"
115,Верхнеуральск,,154.0,,,,,,"[59.206613, 53.872842]"
116,Верхнеяркеево,,57.0,,,,,,"[54.306914, 55.451624]"
117,Верхняя Пышма,97.0,137.0,896.0,,,,,"[60.573462, 56.970236]"
118,Верхняя Синячиха,,58.0,,,,,,"[61.662355, 57.98102]"
119,Вилючинск,,39.0,,,,,,"[158.405063, 52.93179]"
120,Вичуга,,67.0,,,,,,"[41.918158, 57.217138]"
121,Владивосток,1458.0,4662.0,7830.0,2324.0,2520.0,1813.0,2247.0,"[131.885494, 43.115542]"
122,Владикавказ,,4100.0,6285.0,546.0,3298.0,705.0,819.0,"[44.681771, 43.024616]"
123,Владикавказ,,4100.0,6285.0,546.0,3298.0,705.0,819.0,"[44.681771, 43.024616]"
124,Владимир,802.0,556.0,307.0,2129.0,540.0,786.0,1713.0,"[40.406635, 56.129057]"
125,Вознесенская,,128.0,,,,,,"[41.029275, 44.548519]"
126,Волгоград,8051.0,6223.0,3230.0,3159.0,5062.0,,3520.0,"[44.516975, 48.707067]"
127,Волгодонск,,,,474.0,293.0,,,"[42.206329, 47.519624]"
128,Волжск,34.0,80.0,,,,,,"[48.378168, 55.860428]"
129,Волжский,2013.0,383.0,,695.0,936.0,,,"[44.751229, 48.786127]"
130,Волжский,2013.0,383.0,,695.0,936.0,,,"[44.571503, 56.046519]"
131,Вологда,,213.0,1384.0,455.0,166.0,594.0,470.0,"[39.891523, 59.220501]"
132,Волоколамск,,465.0,74.0,,,,,"[35.955222, 56.035869]"
133,Волхов,267.0,,203.0,,,,,"[32.352681, 59.900543]"
134,Вольск,89.0,,48.0,,233.0,,,"[47.387299, 52.045978]"
135,Воркута,,77.0,1267.0,,,,,"[64.050113, 67.493504]"
136,Воронеж,4610.0,3384.0,10942.0,6742.0,9805.0,6235.0,5641.0,"[39.200296, 51.660781]"
137,Воскресенск,139.0,,145.0,100.0,,,,"[38.673362, 55.322978]"
138,Воткинск,,115.0,769.0,,,,,"[53.985236, 57.05232]"
139,Всеволожск,,,139.0,,,,,"[30.645873, 60.024626]"
140,Вурнары,,156.0,,,,,,"[46.953431, 55.490871]"
141,Выборг,113.0,101.0,,,,,,"[28.749781, 60.710496]"
142,Выкса,,195.0,193.0,519.0,,,,"[42.16797, 55.320688]"
143,Выльгорт,,,63.0,,,,,"[50.768369, 61.626965]"
144,Вязьма,,1014.0,16.0,15.0,290.0,,,"[34.298037, 55.205944]"
145,Вятские Поляны,,113.0,,,,,,"[51.074919, 56.222896]"
146,Гаврилов-Ям,,44.0,,,,,,"[39.853847, 57.303956]"
147,Гатчина,,231.0,195.0,,,,,"[30.122892, 59.56841]"
148,Геленджик,,40.0,75.0,24.0,57.0,,,"[38.077115, 44.561012]"
149,Георгиевск,,557.0,140.0,,,,,"[43.474274, 44.147959]"
150,Глазов,99.0,168.0,,,,,,"[52.674253, 58.140801]"
151,Голынщина,,47.0,,,,,,"[42.713401, 52.671489]"
152,Голышманово,,78.0,,,,,,"[68.375385, 56.396005]"
153,Горно-Алтайск,,,449.0,,328.0,969.0,1490.0,"[85.960634, 51.957804]"
154,Горнозаводск,,48.0,47.0,,,,,"[58.330917, 58.374682]"
155,Горнозаводск,,48.0,47.0,,,,,"[141.846759, 46.560619]"
156,Городец,,117.0,,,,,,"[43.47236, 56.644822]"
157,Городовиковск,,59.0,,,,,,"[41.936052, 46.083105]"
158,Горячий Ключ,,,89.0,,,,,"[39.136426, 44.634246]"
159,Грозный,1565.0,1085.0,5844.0,997.0,3689.0,1656.0,3413.0,"[45.692421, 43.318366]"
160,Губаха,163.0,172.0,,,,,,"[57.554584, 58.837022]"
161,Губкин,,106.0,4893.0,,,,,"[37.534757, 51.283644]"
162,Губкинский,,,99.0,,,,,"[76.500503, 64.432625]"
163,Гуково,,,74.0,,,,,"[39.934929, 48.061025]"
164,Гулькевичи,,166.0,,,,,,"[40.695236, 45.360342]"
165,Гусев,,105.0,143.0,,135.0,,,"[22.201117, 54.591841]"
166,Гусь-Хрустальный,165.0,,,,,,,"[40.671045, 55.614556]"
167,Дальнегорск,,73.0,101.0,,,,,"[135.576366, 44.558764]"
168,Дальнереченск,,69.0,,,,,,"[133.726941, 45.931182]"
169,Двинской,,4.0,,,,,,"[45.117804, 62.154774]"
170,Дзержинск,1826.0,287.0,107.0,,,,,"[43.461634, 56.238382]"
171,Димитровград,761.0,225.0,123.0,,,,,"[49.623924, 54.217515]"
172,Динская,,277.0,,,,,,"[39.223068, 45.218577]"
173,Дмитриев,,48.0,57.0,,,,,"[35.080353, 52.12778]"
174,Дмитров,,179.0,395.0,,,,,"[37.517608, 56.342905]"
175,Добрянка,,69.0,,,,,,"[56.403986, 58.468068]"
176,Долгое Ледово,275.0,282.0,287.0,,,,,"[37.975596, 55.854966]"
177,Долгопрудный,,3504.0,,2572.0,,,,"[37.51423, 55.933302]"
178,Донской,,124.0,,,,,,"[38.33741, 53.968352]"
179,Дубна,,,901.0,2102.0,,1368.0,,"[37.162189, 56.736345]"
180,Дубовка,,,,,321.0,,,"[44.826957, 49.055375]"
181,Дудинка,39.0,,41.0,,,,,"[86.164992, 69.405769]"
182,Дюртюли,,,159.0,,,,,"[54.873472, 55.48529]"
183,Дятьково,,,,85.0,,,,"[34.339656, 53.597311]"
184,Евпатория,,159.0,,,131.0,,,"[33.367643, 45.190635]"
185,Егорьевск,,120.0,,,,,,"[39.035842, 55.383055]"
186,Ежово,,59.0,,,,,,"[48.120531, 56.71296]"
187,Ейск,,258.0,134.0,,,,,"[38.27266, 46.711944]"
188,Екатеринбург,2916.0,7253.0,8249.0,13211.0,3648.0,4711.0,2951.0,"[60.597474, 56.838011]"
189,Елабуга,,,,,,,74.0,"[52.053939, 55.757496]"
190,Елань,,79.0,,,,,,"[43.734686, 50.950094]"
191,Елец,75.0,,36.0,,224.0,2.0,,"[38.500446, 52.621938]"
192,Елизово,,,165.0,,,,,"[158.382659, 53.189231]"
193,Ефремов,83.0,90.0,,,,,,"[38.117673, 53.137603]"
194,Железногорск,,158.0,244.0,,,,,"[93.532264, 56.252922]"
195,Железногорск,,158.0,244.0,,,,,"[35.350871, 52.339203]"
196,Железногорск-Илимский,,,62.0,,,,,"[104.114292, 56.584848]"
197,Жердевка,,104.0,,,,,,"[41.469638, 51.844163]"
198,Жигулевск,54.0,,,,,,,"[49.494657, 53.40172]"
199,Жирновск,,,310.0,,,,,"[44.778843, 50.978718]"
200,Задонск,,134.0,,,,,,"[38.919456, 52.391972]"
201,Заинск,,97.0,,,,,,"[52.000427, 55.283928]"
202,Закаменск,,,48.0,,,,,"[103.286764, 50.372602]"
203,Заринск,74.0,97.0,,,,,,"[84.931488, 53.706337]"
204,Зеленогорск,,72.0,,,,,,"[94.588844, 56.113291]"
205,Зерноград,,856.0,396.0,,,,,"[40.312824, 46.849564]"
206,Зея,42.0,,48.0,,,,,"[127.265889, 53.734038]"
207,Зимовники,,65.0,,,,,,"[42.46772, 47.145376]"
208,Златоуст,,116.0,,,300.0,,,"[59.672425, 55.173113]"
209,Зуевка,,74.0,,,,,,"[51.133435, 58.403217]"
210,Зюкайка,,13.0,16.0,,,,,"[54.711722, 58.204913]"
211,Иваново,9542.0,3280.0,184.0,4193.0,787.0,2861.0,1791.0,"[40.97393, 57.000353]"
212,Ивановское,,73.0,,,,,,"[37.840112, 55.076278]"
213,Игарка,24.0,,25.0,,,,,"[86.567662, 67.46694]"
214,Игрим,61.0,,74.0,,,,,"[64.421944, 63.196228]"
215,Ижевск,3.0,2027.0,7101.0,2088.0,385.0,1744.0,2930.0,"[53.2069, 56.852676]"
216,Избербаш,,,164.0,,,,,"[47.871087, 42.565148]"
217,Ильский,,128.0,,,,,,"[38.561998, 44.835941]"
218,Инза,,,51.0,,,,,"[46.351649, 53.85704]"
219,Инской,,150.0,167.0,,,,,"[86.42845, 54.433213]"
220,Инта,,25.0,,,,,,"[60.115367, 66.036823]"
221,Инякино,,81.0,,,,,,"[41.113052, 54.434239]"
222,Ипатово,,80.0,,,,,,"[42.911156, 45.717425]"
223,Ирбит,41.0,58.0,,,,,,"[63.054079, 57.68507]"
224,Иркутск,2073.0,1548.0,4362.0,2841.0,2085.0,2690.0,3901.0,"[104.280606, 52.289588]"
225,Ирша,,,140.0,,,,,"[94.799841, 55.927644]"
226,Искитим,156.0,,,,,,,"[83.306391, 54.642587]"
227,Ишим,,167.0,,,229.0,,,"[69.457073, 56.109175]"
228,Ишимбай,,,653.0,,,,,"[56.04395, 53.454626]"
