,city,15,27,coordinates
0,Абаза,55.0,,"[90.088581, 52.651662]"
1,Абакан,531.0,,"[91.442396, 53.721152]"
2,Абзелилово,63.0,,"[58.661183, 53.467766]"
3,Авторемзавод,116.0,,"[31.684901, 54.759711]"
4,Агроном,77.0,,"[39.020525, 53.040294]"
5,Азнакаево,57.0,,"[53.079923, 54.858233]"
6,Азов,797.0,212.0,"[39.423581, 47.112448]"
7,Айхал,51.0,,"[111.502199, 65.942105]"
8,Ак-Довурак,87.0,,"[90.601061, 51.19084]"
9,Акбулак,60.0,,"[55.619263, 51.004293]"
10,Аксай,68.0,,"[39.862283, 47.269914]"
11,Алапаевск,105.0,,"[61.694524, 57.852511]"
12,Алатырь,99.0,,"[46.591949, 54.840526]"
13,Алдан,100.0,,"[125.388878, 58.608597]"
14,Алейск,67.0,,"[82.779457, 52.492167]"
15,Александров,100.0,,"[38.727621, 56.397774]"
16,Александров Гай,64.0,,"[48.585724, 50.143774]"
17,Александровск,40.0,,"[57.584669, 59.16293]"
18,Алексеевка,68.0,,"[38.686568, 50.630035]"
19,Алексин,248.0,,"[37.066034, 54.502429]"
20,Алтайское,102.0,,"[85.338182, 51.952237]"
21,Альметьевск,2633.0,353.0,"[52.29723, 54.901171]"
22,Амурск,57.0,,"[136.910607, 50.226797]"
23,Ангарск,1502.0,,"[103.888249, 52.544358]"
24,Анжеро-Судженск,144.0,,"[86.018216, 56.08318]"
25,Апатиты,52.0,,"[33.407187, 67.568023]"
26,Апшеронск,270.0,,"[39.727095, 44.465535]"
27,Аргун,157.0,,"[45.867439, 43.292662]"
28,Арзамас,2192.0,,"[43.814133, 55.386799]"
29,Армавир,546.0,,"[41.129644, 44.997655]"
30,Армянск,147.0,,"[33.691315, 46.110727]"
31,Арсеньев,189.0,30.0,"[133.268729, 44.163345]"
32,Артем,192.0,,"[132.180339, 43.353047]"
33,Артемовский,65.0,,"[61.895513, 57.337669]"
34,Арти,21.0,,"[58.532544, 56.416794]"
35,Архангельск,2078.0,455.0,"[40.515762, 64.539911]"
36,Асбест,92.0,,"[61.461474, 57.014317]"
37,Асино,67.0,,"[86.153906, 56.997519]"
38,Астрахань,4443.0,,"[48.030178, 46.347614]"
39,Аткарск,60.0,,"[45.003655, 51.877724]"
40,Атяшево,19.0,,"[46.077537, 54.588027]"
41,Ахтырский,120.0,,"[38.299825, 44.85036]"
42,Ачинск,467.0,,"[90.49524, 56.269501]"
43,Байкальск,50.0,,"[104.149928, 51.522826]"
44,Баймак,218.0,,"[58.308136, 52.597811]"
45,Бакал,39.0,,"[58.80918, 54.938064]"
46,Баксан,90.0,,"[43.534622, 43.681946]"
47,Балаково,618.0,566.0,"[47.819676, 52.01843]"
48,Балахна,208.0,,"[43.601331, 56.504919]"
49,Балашиха,128.0,,"[37.938118, 55.797007]"
50,Балашов,213.0,,"[43.146478, 51.554601]"
51,Баранчинский,46.0,,"[59.696581, 58.162281]"
52,Барда,26.0,,"[55.591451, 56.927192]"
53,Барнаул,5064.0,1249.0,"[83.776856, 53.346785]"
54,Барыш,51.0,,"[47.118038, 53.653474]"
55,Батайск,119.0,,"[39.744469, 47.138333]"
56,Бахчисарай,113.0,,"[33.848035, 44.744997]"
57,Бегуницы,56.0,,"[29.30494, 59.58506]"
58,Бежецк,88.0,,"[36.693188, 57.781318]"
59,Белая Калитва,142.0,,"[40.802388, 48.177644]"
60,Белая Холуница,29.0,,"[50.85273, 58.84356]"
61,Белгород,8799.0,2208.0,"[36.587277, 50.595414]"
62,Белебей,271.0,,"[54.110111, 54.103214]"
63,Белово,173.0,189.0,"[86.303701, 54.42212]"
64,Белорецк,359.0,120.0,"[58.410023, 53.967621]"
65,Белореченск,87.0,,"[39.86849, 44.766017]"
66,Белоярский,129.0,,"[66.667597, 63.716043]"
67,Белоярский,129.0,,"[61.393211, 56.750981]"
68,Белый Яр,14.0,,"[85.047236, 58.442558]"
69,Бердск,173.0,,"[83.107135, 54.758288]"
70,Березники,1556.0,,"[56.806719, 59.407024]"
71,Березовка,106.0,,"[93.126603, 56.037136]"
72,Березовский,188.0,,"[60.816457, 56.909583]"
73,Березовский,188.0,,"[86.274523, 55.669361]"
74,Бийск,1203.0,,"[85.220656, 52.541811]"
75,Бирюч,66.0,79.0,"[38.40023, 50.649337]"
76,Бисерть,19.0,,"[59.050629, 56.862243]"
77,Благовещенка,57.0,,"[79.868718, 52.833975]"
78,Благовещенск,1696.0,91.0,"[55.955224, 55.049854]"
79,Благовещенск,1696.0,91.0,"[127.534611, 50.257456]"
80,Благодарный,106.0,,"[43.44003, 45.095656]"
81,Богданович,73.0,,"[62.057129, 56.773977]"
82,Богородицк,69.0,,"[38.131696, 53.770699]"
83,Богородск,90.0,,"[43.516764, 56.103362]"
84,Болохово,105.0,,"[37.826799, 54.082113]"
85,Большая Глушица,31.0,,"[50.471907, 52.392769]"
86,Большеречье,48.0,,"[74.639032, 56.095328]"
87,Большой Камень,152.0,131.0,"[132.350345, 43.111725]"
88,Бор,163.0,,"[44.064575, 56.356522]"
89,Бор,163.0,,"[33.792357, 59.473563]"
90,Борисовка,86.0,,"[36.009085, 50.607918]"
91,Борисоглебск,855.0,,"[42.075183, 51.366308]"
92,Боровичи,107.0,,"[33.910459, 58.390115]"
93,Борское,35.0,,"[51.698871, 53.025456]"
94,Братск,1505.0,588.0,"[101.633505, 56.151682]"
95,Бреды,64.0,,"[60.337259, 52.422348]"
96,Бронницы,182.0,,"[38.264243, 55.42565]"
97,Брянск,8811.0,2190.0,"[34.363991, 53.2434]"
98,Бугульма,798.0,,"[52.798634, 54.541877]"
99,Бугуруслан,295.0,,"[52.432606, 53.6523]"
100,Буденновск,90.0,,"[44.165024, 44.781528]"
101,Буй,133.0,,"[41.533113, 58.481724]"
102,Буйнакск,181.0,,"[47.115927, 42.821755]"
103,Бутурлиновка,178.0,,"[40.584825, 50.835367]"
104,Валдай,17.0,,"[33.246406, 57.98069]"
105,Валуйки,94.0,,"[38.100111, 50.211332]"
106,Ванино,72.0,,"[140.256337, 49.09088]"
107,Ванновское,29.0,,"[40.230511, 45.322477]"
108,Варгаши,39.0,,"[65.815761, 55.375496]"
109,Варна,34.0,,"[60.983202, 53.383575]"
110,Великие Луки,211.0,,"[30.515671, 56.343703]"
111,Великий Новгород,1450.0,60.0,"[31.269816, 58.522857]"
112,Великий Устюг,96.0,,"[46.297849, 60.761156]"
113,Верхнеднепровский,55.0,,"[33.344969, 54.981397]"
114,Верхнеяркеево,54.0,,"[54.306914, 55.451624]"
115,Верхние Киги,27.0,,"[58.600241, 55.407627]"
116,Верхние Серги,54.0,,"[59.558932, 56.649241]"
117,Верхний Уфалей,37.0,,"[60.221107, 56.054673]"
118,Верхняя Пышма,1044.0,,"[60.573462, 56.970236]"
119,Верхняя Салда,403.0,,"[60.546253, 58.050898]"
120,Верхняя Тура,38.0,,"[59.820153, 58.359818]"
121,Вичуга,71.0,,"[41.918158, 57.217138]"
122,Владивосток,6346.0,2324.0,"[131.885494, 43.115542]"
123,Владикавказ,2404.0,546.0,"[44.681771, 43.024616]"
124,Владикавказ,2404.0,546.0,"[44.681771, 43.024616]"
125,Владимир,3989.0,2129.0,"[40.406635, 56.129057]"
126,Вознесенская,112.0,,"[41.029275, 44.548519]"
127,Волгоград,8716.0,3159.0,"[44.516975, 48.707067]"
128,Волгодонск,2134.0,474.0,"[42.206329, 47.519624]"
129,Волжск,120.0,,"[48.378168, 55.860428]"
130,Волжский,2238.0,695.0,"[44.751229, 48.786127]"
131,Волжский,2238.0,695.0,"[44.571503, 56.046519]"
132,Вологда,1873.0,455.0,"[39.891523, 59.220501]"
133,Волхов,188.0,,"[32.352681, 59.900543]"
134,Вольск,100.0,,"[47.387299, 52.045978]"
135,Воркута,77.0,,"[64.050113, 67.493504]"
136,Воронеж,13831.0,6742.0,"[39.200296, 51.660781]"
137,Воскресенск,106.0,100.0,"[38.673362, 55.322978]"
138,Воткинск,997.0,,"[53.985236, 57.05232]"
139,Выборг,79.0,,"[28.749781, 60.710496]"
140,Выкса,1071.0,519.0,"[42.16797, 55.320688]"
141,Выльгорт,58.0,,"[50.768369, 61.626965]"
142,Вытегра,82.0,,"[36.449511, 61.006359]"
143,Вышний Волочек,79.0,,"[34.558836, 57.584174]"
144,Вязники,107.0,,"[42.158862, 56.247026]"
145,Вязьма,487.0,15.0,"[34.298037, 55.205944]"
146,Вятские Поляны,99.0,,"[51.074919, 56.222896]"
147,Гаврилов-Ям,82.0,,"[39.853847, 57.303956]"
148,Галич,68.0,,"[42.34749, 58.381203]"
149,Гатчина,181.0,,"[30.122892, 59.56841]"
150,Геленджик,,24.0,"[38.077115, 44.561012]"
151,Георгиевск,288.0,,"[43.474274, 44.147959]"
152,Глазов,473.0,,"[52.674253, 58.140801]"
153,Горно-Алтайск,165.0,,"[85.960634, 51.957804]"
154,Горнозаводск,45.0,,"[58.330917, 58.374682]"
155,Горнозаводск,45.0,,"[141.846759, 46.560619]"
156,Горный,78.0,,"[48.538553, 51.756147]"
157,Городец,109.0,,"[43.47236, 56.644822]"
158,Городовиковск,68.0,,"[41.936052, 46.083105]"
159,Грозный,2766.0,997.0,"[45.692421, 43.318366]"
160,Губаха,161.0,,"[57.554584, 58.837022]"
161,Губкин,109.0,,"[37.534757, 51.283644]"
162,Гуково,95.0,,"[39.934929, 48.061025]"
163,Гулькевичи,146.0,,"[40.695236, 45.360342]"
164,Гусев,209.0,,"[22.201117, 54.591841]"
165,Гусиноозерск,148.0,,"[106.529323, 51.285526]"
166,Гусь-Хрустальный,177.0,,"[40.671045, 55.614556]"
167,Дагестанские Огни,79.0,,"[48.193923, 42.115189]"
168,Дальнегорск,83.0,,"[135.576366, 44.558764]"
169,Дальнереченск,79.0,,"[133.726941, 45.931182]"
170,Данков,65.0,,"[39.134423, 53.246197]"
171,Двинской,4.0,,"[45.117804, 62.154774]"
172,Дербент,236.0,,"[48.288776, 42.057669]"
173,Десногорск,104.0,,"[33.287881, 54.152351]"
174,Дзержинск,3086.0,,"[43.461634, 56.238382]"
175,Дивногорск,115.0,,"[92.380148, 55.957726]"
176,Димитровград,620.0,,"[49.623924, 54.217515]"
177,Динская,244.0,,"[39.223068, 45.218577]"
178,Дмитров,132.0,,"[37.517608, 56.342905]"
179,Добрянка,65.0,,"[56.403986, 58.468068]"
180,Долгое Ледово,209.0,,"[37.975596, 55.854966]"
181,Долгопрудный,160.0,2572.0,"[37.51423, 55.933302]"
182,Долинск,141.0,,"[142.79821, 47.324133]"
183,Домашка,35.0,,"[50.773534, 52.985211]"
184,Домодедово,283.0,,"[37.768004, 55.437174]"
185,Донецк,146.0,,"[39.944856, 48.337126]"
186,Донской,141.0,,"[38.33741, 53.968352]"
187,Дубна,648.0,2102.0,"[37.162189, 56.736345]"
188,Дудинка,35.0,,"[86.164992, 69.405769]"
189,Дюртюли,157.0,,"[54.873472, 55.48529]"
190,Дятьково,185.0,85.0,"[34.339656, 53.597311]"
191,Евпатория,121.0,,"[33.367643, 45.190635]"
192,Егорьевск,2686.0,,"[39.035842, 55.383055]"
193,Ейск,107.0,,"[38.27266, 46.711944]"
194,Екатеринбург,7850.0,13211.0,"[60.597474, 56.838011]"
195,Елец,683.0,,"[38.500446, 52.621938]"
196,Елизово,126.0,,"[158.382659, 53.189231]"
197,Ершов,76.0,,"[48.266498, 51.349829]"
198,Ессентуки,25.0,,"[42.85891, 44.044526]"
199,Ефремов,102.0,,"[38.117673, 53.137603]"
200,Жатай,156.0,,"[129.841386, 62.163942]"
201,Железногорск,303.0,,"[93.532264, 56.252922]"
202,Железногорск,303.0,,"[35.350871, 52.339203]"
203,Железногорск-Илимский,56.0,,"[104.114292, 56.584848]"
204,Жердевка,83.0,,"[41.469638, 51.844163]"
205,Жигулевск,43.0,,"[49.494657, 53.40172]"
206,Жирнов,69.0,,"[41.124739, 48.17071]"
207,Жирновск,242.0,,"[44.778843, 50.978718]"
208,Жуковка,47.0,,"[33.732547, 53.533067]"
209,Заволжье,232.0,,"[43.387164, 56.640441]"
210,Заинск,94.0,,"[52.000427, 55.283928]"
211,Закаменск,41.0,,"[103.286764, 50.372602]"
212,Заречный,193.0,,"[45.169071, 53.196088]"
213,Заречный,193.0,,"[61.320349, 56.814966]"
214,Заринск,85.0,,"[84.931488, 53.706337]"
215,Зверево,73.0,,"[40.12301, 48.021693]"
216,Зеленогорск,78.0,,"[94.588844, 56.113291]"
217,Зеленодольск,692.0,,"[48.492802, 55.847048]"
218,Зима,129.0,,"[102.049065, 53.920725]"
219,Зимовники,60.0,,"[42.46772, 47.145376]"
220,Златоуст,873.0,,"[59.672425, 55.173113]"
