,city,8,15,26,27,coordinates
86,Березовский,87.0,188.0,,,"[86.274523, 55.669361]"
87,Беседа,149.0,,,,"[28.969985, 59.357677]"
88,Бийск,983.0,1203.0,,,"[85.220656, 52.541811]"
89,Билибино,12.0,,,,"[166.451139, 68.057129]"
90,Биробиджан,242.0,,,,"[132.924746, 48.78992]"
91,Бирск,134.0,,,,"[55.530716, 55.417531]"
92,Бирюч,,66.0,,79.0,"[38.40023, 50.649337]"
93,Бисерть,,19.0,,,"[59.050629, 56.862243]"
94,Благовещенка,,57.0,,,"[79.868718, 52.833975]"
95,Благовещенск,5241.0,1696.0,396.0,91.0,"[55.955224, 55.049854]"
96,Благовещенск,5241.0,1696.0,396.0,91.0,"[127.534611, 50.257456]"
97,Благодарный,102.0,106.0,,,"[43.44003, 45.095656]"
98,Богатое,26.0,,,,"[51.339994, 53.059824]"
99,Богатые Сабы,41.0,,,,"[50.443484, 56.008269]"
100,Богданович,,73.0,,,"[62.057129, 56.773977]"
101,Богородицк,,69.0,,,"[38.131696, 53.770699]"
102,Богородск,83.0,90.0,,,"[43.516764, 56.103362]"
103,Боготол,241.0,,,,"[89.531222, 56.211523]"
104,Болохово,,105.0,,,"[37.826799, 54.082113]"
105,Большая Атня,51.0,,,,"[49.451978, 56.250707]"
106,Большая Глушица,,31.0,,,"[50.471907, 52.392769]"
107,Большеречье,,48.0,,,"[74.639032, 56.095328]"
108,Большеустьикинское,29.0,,,,"[58.267272, 55.949627]"
109,Большой Камень,147.0,152.0,141.0,131.0,"[132.350345, 43.111725]"
110,Бор,158.0,163.0,87.0,,"[44.064575, 56.356522]"
111,Бор,158.0,163.0,87.0,,"[33.792357, 59.473563]"
112,Борисовка,,86.0,,,"[36.009085, 50.607918]"
113,Борисоглебск,1715.0,855.0,,,"[42.075183, 51.366308]"
114,Боровичи,379.0,107.0,,,"[33.910459, 58.390115]"
115,Борское,,35.0,,,"[51.698871, 53.025456]"
116,Братск,2438.0,1505.0,,588.0,"[101.633505, 56.151682]"
117,Бреды,,64.0,,,"[60.337259, 52.422348]"
118,Бронницы,,182.0,,,"[38.264243, 55.42565]"
119,Брюховецкая,287.0,,,,"[38.997295, 45.802003]"
120,Брянск,6998.0,8811.0,,2190.0,"[34.363991, 53.2434]"
121,Бугульма,215.0,798.0,,,"[52.798634, 54.541877]"
122,Бугуруслан,88.0,295.0,,,"[52.432606, 53.6523]"
123,Буденновск,86.0,90.0,,,"[44.165024, 44.781528]"
124,Бузулук,1158.0,,,,"[52.263292, 52.787097]"
125,Буинск,159.0,,,,"[48.290151, 54.964158]"
126,Буй,96.0,133.0,,,"[41.533113, 58.481724]"
127,Буйнакск,,181.0,,,"[47.115927, 42.821755]"
128,Бутурлиновка,,178.0,,,"[40.584825, 50.835367]"
129,Вад,199.0,,,,"[44.20923, 55.531468]"
130,Валдай,,17.0,,,"[33.246406, 57.98069]"
131,Валуйки,,94.0,,,"[38.100111, 50.211332]"
132,Ванино,,72.0,,,"[140.256337, 49.09088]"
133,Ванновское,29.0,29.0,,,"[40.230511, 45.322477]"
134,Варгаши,,39.0,,,"[65.815761, 55.375496]"
135,Варна,,34.0,,,"[60.983202, 53.383575]"
136,Вейделевка,50.0,,,,"[38.444499, 50.151497]"
137,Великие Луки,641.0,211.0,,,"[30.515671, 56.343703]"
138,Великий Новгород,1515.0,1450.0,,60.0,"[31.269816, 58.522857]"
139,Великий Устюг,97.0,96.0,281.0,,"[46.297849, 60.761156]"
140,Вельск,135.0,,,,"[42.10331, 61.065915]"
141,Верещагино,140.0,,,,"[54.658092, 58.079766]"
142,Верхнеднепровский,51.0,55.0,,,"[33.344969, 54.981397]"
143,Верхнеяркеево,,54.0,,,"[54.306914, 55.451624]"
144,Верхние Киги,30.0,27.0,,,"[58.600241, 55.407627]"
145,Верхние Серги,,54.0,,,"[59.558932, 56.649241]"
146,Верхний Уфалей,,37.0,,,"[60.221107, 56.054673]"
147,Верхняя Пышма,30.0,1044.0,,,"[60.573462, 56.970236]"
148,Верхняя Салда,,403.0,,,"[60.546253, 58.050898]"
149,Верхняя Тура,41.0,38.0,,,"[59.820153, 58.359818]"
150,Веселовка,17.0,,,,"[36.904615, 45.129184]"
151,Вилючинск,,,26.0,,"[158.405063, 52.93179]"
152,Вичуга,,71.0,,,"[41.918158, 57.217138]"
153,Владивосток,6366.0,6346.0,10898.0,2324.0,"[131.885494, 43.115542]"
154,Владикавказ,4058.0,2404.0,,546.0,"[44.681771, 43.024616]"
155,Владикавказ,4058.0,2404.0,,546.0,"[44.681771, 43.024616]"
156,Владимир,6538.0,3989.0,,2129.0,"[40.406635, 56.129057]"
157,Вознесенская,114.0,112.0,,,"[41.029275, 44.548519]"
