,city,15,18,22,27,coordinates
77,Бисерть,19.0,,,,"[59.050629, 56.862243]"
78,Благовещенка,57.0,,,,"[79.868718, 52.833975]"
79,Благовещенск,1696.0,1346.0,103.0,91.0,"[55.955224, 55.049854]"
80,Благовещенск,1696.0,1346.0,103.0,91.0,"[127.534611, 50.257456]"
81,Благодарный,106.0,,,,"[43.44003, 45.095656]"
82,Богданович,73.0,62.0,,,"[62.057129, 56.773977]"
83,Богородицк,69.0,,,,"[38.131696, 53.770699]"
84,Богородск,90.0,,,,"[43.516764, 56.103362]"
85,Болохово,105.0,,141.0,,"[37.826799, 54.082113]"
86,Большая Глушица,31.0,,,,"[50.471907, 52.392769]"
87,Большеречье,48.0,,,,"[74.639032, 56.095328]"
88,Большой Камень,152.0,,135.0,131.0,"[132.350345, 43.111725]"
89,Бор,163.0,,121.0,,"[44.064575, 56.356522]"
90,Бор,163.0,,121.0,,"[33.792357, 59.473563]"
91,Борисовка,86.0,,,,"[36.009085, 50.607918]"
92,Борисоглебск,855.0,,,,"[42.075183, 51.366308]"
93,Боровичи,107.0,105.0,,,"[33.910459, 58.390115]"
94,Борское,35.0,,,,"[51.698871, 53.025456]"
95,Братск,1505.0,120.0,75.0,588.0,"[101.633505, 56.151682]"
96,Бреды,64.0,,,,"[60.337259, 52.422348]"
97,Бронницы,182.0,,,,"[38.264243, 55.42565]"
98,Брянск,8811.0,263.0,437.0,2190.0,"[34.363991, 53.2434]"
99,Бугульма,798.0,575.0,249.0,,"[52.798634, 54.541877]"
100,Бугуруслан,295.0,,,,"[52.432606, 53.6523]"
101,Буденновск,90.0,89.0,78.0,,"[44.165024, 44.781528]"
102,Буй,133.0,,,,"[41.533113, 58.481724]"
103,Буйнакск,181.0,,,,"[47.115927, 42.821755]"
104,Бутурлиновка,178.0,,,,"[40.584825, 50.835367]"
105,Валдай,17.0,,,,"[33.246406, 57.98069]"
106,Валуйки,94.0,,,,"[38.100111, 50.211332]"
107,Ванино,72.0,,,,"[140.256337, 49.09088]"
108,Ванновское,29.0,,,,"[40.230511, 45.322477]"
109,Варгаши,39.0,,,,"[65.815761, 55.375496]"
110,Варна,34.0,,,,"[60.983202, 53.383575]"
111,Великие Луки,211.0,,,,"[30.515671, 56.343703]"
112,Великий Новгород,1450.0,171.0,168.0,60.0,"[31.269816, 58.522857]"
113,Великий Устюг,96.0,,,,"[46.297849, 60.761156]"
114,Верхнеднепровский,55.0,59.0,,,"[33.344969, 54.981397]"
115,Верхнеяркеево,54.0,,,,"[54.306914, 55.451624]"
116,Верхние Киги,27.0,,,,"[58.600241, 55.407627]"
117,Верхние Серги,54.0,,62.0,,"[59.558932, 56.649241]"
118,Верхний Уфалей,37.0,,50.0,,"[60.221107, 56.054673]"
119,Верхняя Пышма,1044.0,97.0,659.0,,"[60.573462, 56.970236]"
120,Верхняя Салда,403.0,,776.0,,"[60.546253, 58.050898]"
121,Верхняя Тура,38.0,,,,"[59.820153, 58.359818]"
122,Вичуга,71.0,,47.0,,"[41.918158, 57.217138]"
123,Владивосток,6346.0,1458.0,916.0,2324.0,"[131.885494, 43.115542]"
124,Владикавказ,2404.0,,1189.0,546.0,"[44.681771, 43.024616]"
125,Владикавказ,2404.0,,1189.0,546.0,"[44.681771, 43.024616]"
126,Владимир,3989.0,802.0,784.0,2129.0,"[40.406635, 56.129057]"
127,Вознесенская,112.0,,,,"[41.029275, 44.548519]"
128,Волгоград,8716.0,8051.0,3617.0,3159.0,"[44.516975, 48.707067]"
129,Волгодонск,2134.0,,480.0,474.0,"[42.206329, 47.519624]"
130,Волжск,120.0,34.0,64.0,,"[48.378168, 55.860428]"
131,Волжский,2238.0,2013.0,441.0,695.0,"[44.751229, 48.786127]"
132,Волжский,2238.0,2013.0,441.0,695.0,"[44.571503, 56.046519]"
133,Вологда,1873.0,,339.0,455.0,"[39.891523, 59.220501]"
134,Волхов,188.0,267.0,,,"[32.352681, 59.900543]"
135,Вольск,100.0,89.0,126.0,,"[47.387299, 52.045978]"
136,Воркута,77.0,,,,"[64.050113, 67.493504]"
137,Воронеж,13831.0,4610.0,1299.0,6742.0,"[39.200296, 51.660781]"
138,Воскресенск,106.0,139.0,,100.0,"[38.673362, 55.322978]"
139,Воткинск,997.0,,,,"[53.985236, 57.05232]"
140,Выборг,79.0,113.0,81.0,,"[28.749781, 60.710496]"
141,Выкса,1071.0,,1889.0,519.0,"[42.16797, 55.320688]"
142,Выльгорт,58.0,,,,"[50.768369, 61.626965]"
143,Вытегра,82.0,,,,"[36.449511, 61.006359]"
144,Вышний Волочек,79.0,,,,"[34.558836, 57.584174]"
145,Вязники,107.0,,,,"[42.158862, 56.247026]"
146,Вязьма,487.0,,,15.0,"[34.298037, 55.205944]"
147,Вятские Поляны,99.0,,99.0,,"[51.074919, 56.222896]"
148,Гаврилов-Ям,82.0,,,,"[39.853847, 57.303956]"
149,Галич,68.0,,,,"[42.34749, 58.381203]"
150,Гатчина,181.0,,184.0,,"[30.122892, 59.56841]"
151,Геленджик,,,,24.0,"[38.077115, 44.561012]"
152,Георгиевск,288.0,,,,"[43.474274, 44.147959]"
153,Глазов,473.0,99.0,86.0,,"[52.674253, 58.140801]"
154,Горно-Алтайск,165.0,,,,"[85.960634, 51.957804]"
155,Горнозаводск,45.0,,40.0,,"[58.330917, 58.374682]"
156,Горнозаводск,45.0,,40.0,,"[141.846759, 46.560619]"
157,Горный,78.0,,,,"[48.538553, 51.756147]"
158,Городец,109.0,,,,"[43.47236, 56.644822]"
159,Городовиковск,68.0,,,,"[41.936052, 46.083105]"
160,Грозный,2766.0,1565.0,,997.0,"[45.692421, 43.318366]"
161,Губаха,161.0,163.0,,,"[57.554584, 58.837022]"
162,Губкин,109.0,,121.0,,"[37.534757, 51.283644]"
163,Гуково,95.0,,,,"[39.934929, 48.061025]"
164,Гулькевичи,146.0,,,,"[40.695236, 45.360342]"
165,Гусев,209.0,,,,"[22.201117, 54.591841]"
166,Гусиноозерск,148.0,,,,"[106.529323, 51.285526]"
167,Гусь-Хрустальный,177.0,165.0,,,"[40.671045, 55.614556]"
168,Дагестанские Огни,79.0,,,,"[48.193923, 42.115189]"
169,Дальнегорск,83.0,,,,"[135.576366, 44.558764]"
170,Дальнереченск,79.0,,,,"[133.726941, 45.931182]"
171,Данков,65.0,,,,"[39.134423, 53.246197]"
172,Двинской,4.0,,,,"[45.117804, 62.154774]"
173,Дербент,236.0,,,,"[48.288776, 42.057669]"
174,Десногорск,104.0,,,,"[33.287881, 54.152351]"
175,Дзержинск,3086.0,1826.0,255.0,,"[43.461634, 56.238382]"
176,Дзержинский,,,36.0,,"[37.849616, 55.630944]"
177,Дивногорск,115.0,,,,"[92.380148, 55.957726]"
178,Димитровград,620.0,761.0,102.0,,"[49.623924, 54.217515]"
179,Динская,244.0,,334.0,,"[39.223068, 45.218577]"
180,Дмитров,132.0,,,,"[37.517608, 56.342905]"
181,Добрянка,65.0,,,,"[56.403986, 58.468068]"
182,Долгое Ледово,209.0,275.0,,,"[37.975596, 55.854966]"
183,Долгопрудный,160.0,,,2572.0,"[37.51423, 55.933302]"
184,Долинск,141.0,,,,"[142.79821, 47.324133]"
185,Домашка,35.0,,,,"[50.773534, 52.985211]"
186,Домодедово,283.0,,,,"[37.768004, 55.437174]"
187,Донецк,146.0,,,,"[39.944856, 48.337126]"
188,Донской,141.0,,,,"[38.33741, 53.968352]"
189,Дубна,648.0,,,2102.0,"[37.162189, 56.736345]"
190,Дудинка,35.0,39.0,,,"[86.164992, 69.405769]"
191,Дюртюли,157.0,,,,"[54.873472, 55.48529]"
192,Дятьково,185.0,,,85.0,"[34.339656, 53.597311]"
193,Евпатория,121.0,,,,"[33.367643, 45.190635]"
194,Егорьевск,2686.0,,,,"[39.035842, 55.383055]"
195,Ейск,107.0,,,,"[38.27266, 46.711944]"
196,Екатеринбург,7850.0,2916.0,7756.0,13211.0,"[60.597474, 56.838011]"
197,Елец,683.0,75.0,102.0,,"[38.500446, 52.621938]"
198,Елизово,126.0,,,,"[158.382659, 53.189231]"
199,Ершов,76.0,,,,"[48.266498, 51.349829]"
200,Ессентуки,25.0,,,,"[42.85891, 44.044526]"
201,Ефремов,102.0,83.0,,,"[38.117673, 53.137603]"
202,Жатай,156.0,,,,"[129.841386, 62.163942]"
203,Железногорск,303.0,,308.0,,"[93.532264, 56.252922]"
204,Железногорск,303.0,,308.0,,"[35.350871, 52.339203]"
205,Железногорск-Илимский,56.0,,,,"[104.114292, 56.584848]"
206,Жердевка,83.0,,,,"[41.469638, 51.844163]"
207,Жигулевск,43.0,54.0,61.0,,"[49.494657, 53.40172]"
208,Жирнов,69.0,,,,"[41.124739, 48.17071]"
209,Жирновск,242.0,,,,"[44.778843, 50.978718]"
210,Жуковка,47.0,,,,"[33.732547, 53.533067]"
211,Заволжье,232.0,,,,"[43.387164, 56.640441]"
212,Заинск,94.0,,,,"[52.000427, 55.283928]"
213,Закаменск,41.0,,,,"[103.286764, 50.372602]"
214,Заречный,193.0,,,,"[45.169071, 53.196088]"
215,Заречный,193.0,,,,"[61.320349, 56.814966]"
216,Заринск,85.0,74.0,,,"[84.931488, 53.706337]"
217,Зверево,73.0,,,,"[40.12301, 48.021693]"
218,Зеленогорск,78.0,,,,"[94.588844, 56.113291]"
219,Зеленодольск,692.0,,,,"[48.492802, 55.847048]"
220,Зея,,42.0,,,"[127.265889, 53.734038]"
221,Зима,129.0,,,,"[102.049065, 53.920725]"
222,Зимовники,60.0,,,,"[42.46772, 47.145376]"
223,Златоуст,873.0,,664.0,,"[59.672425, 55.173113]"
224,Зырянское,50.0,,,,"[86.625504, 56.829069]"
225,Иваново,3932.0,9542.0,986.0,4193.0,"[40.97393, 57.000353]"
226,Ивантеевка,108.0,,,,"[37.907414, 55.976201]"
227,Ивантеевка,108.0,,,,"[49.100323, 52.265172]"
228,Игарка,22.0,24.0,,,"[86.567662, 67.46694]"
229,Иглино,68.0,,,,"[56.416176, 54.834496]"
230,Игрим,78.0,61.0,,,"[64.421944, 63.196228]"
231,Ижевск,8189.0,3.0,83.0,2088.0,"[53.2069, 56.852676]"
232,Инза,57.0,,,,"[46.351649, 53.85704]"
233,Инсар,19.0,,,,"[44.372248, 53.866513]"
234,Ипатово,70.0,,,,"[42.911156, 45.717425]"
235,Ирбит,137.0,41.0,,,"[63.054079, 57.68507]"
236,Иркутск,8636.0,2073.0,1697.0,2841.0,"[104.280606, 52.289588]"
237,Ирша,119.0,,,,"[94.799841, 55.927644]"
238,Исилькуль,59.0,,,,"[71.262453, 54.913914]"
239,Искитим,135.0,156.0,,,"[83.306391, 54.642587]"
240,Истра,58.0,,,,"[36.859017, 55.91466]"
241,Исянгулово,27.0,,,,"[56.573839, 52.192177]"
242,Ишим,139.0,,,,"[69.457073, 56.109175]"
243,Ишимбай,1838.0,,,,"[56.04395, 53.454626]"
244,Йошкар-Ола,4144.0,178.0,1907.0,2727.0,"[47.886178, 56.6316]"
245,Кадом,60.0,,,,"[42.467244, 54.559078]"
246,Казанская,41.0,,,,"[41.137046, 49.794468]"
247,Казань,16362.0,4231.0,6239.0,16691.0,"[49.106414, 55.796127]"
248,Калачинск,54.0,,46.0,,"[74.581782, 55.052613]"
249,Калининград,2940.0,136.0,209.0,,"[20.510137, 54.710162]"
250,Калиновка,138.0,,,,"[34.51118, 51.896474]"
251,Калиновка,138.0,,,,"[35.746525, 45.321463]"
252,Калиновская,68.0,,,,"[45.521372, 43.574286]"
253,Калтан,37.0,,,,"[87.27716, 53.521088]"
254,Калуга,5828.0,,438.0,3663.0,"[36.261224, 54.513845]"
255,Калязин,95.0,,,,"[37.828308, 57.241069]"
256,Камбарка,75.0,,,,"[54.193475, 56.266957]"
257,Каменка,103.0,,,92.0,"[44.046878, 53.185557]"
258,Каменск-Уральский,788.0,,985.0,127.0,"[61.917764, 56.41524]"
259,Каменск-Шахтинский,937.0,153.0,,343.0,"[40.269534, 48.323133]"
260,Камень-на-Оби,84.0,,,,"[81.354558, 53.791492]"
261,Камызяк,63.0,,,,"[48.067548, 46.114432]"
262,Камышин,857.0,,,,"[45.402166, 50.085287]"
263,Камышлов,94.0,,,,"[62.707464, 56.843988]"
264,Канаш,363.0,218.0,268.0,,"[47.491764, 55.506943]"
265,Кандалакша,83.0,,85.0,,"[32.412832, 67.151256]"
266,Канск,221.0,170.0,66.0,,"[95.705064, 56.20505]"
267,Карабаш,29.0,33.0,,,"[60.203087, 55.488371]"
268,Каран,46.0,,,,"[55.917054, 52.926812]"
269,Карасук,134.0,,,,"[78.04936, 53.731934]"
270,Карачев,310.0,87.0,,,"[34.982805, 53.121594]"
271,Каргинская,67.0,,,,"[41.637632, 49.353477]"
272,Карпинск,89.0,,,,"[60.001074, 59.766633]"
273,Карсун,53.0,,,,"[46.980766, 54.200786]"
274,Карталы,512.0,,,,"[60.639462, 53.053308]"
275,Касимов,166.0,100.0,,,"[41.391368, 54.937288]"
276,Касли,39.0,,53.0,,"[60.757411, 55.897337]"
277,Каспийск,395.0,,,,"[47.635665, 42.890853]"
278,Катав-Ивановск,82.0,,,,"[58.205836, 54.753513]"
279,Катайск,40.0,,,,"[62.58365, 56.283235]"
280,Качканар,,,66.0,,"[59.485037, 58.70526]"
281,Кашира,,,,110.0,"[38.15154, 54.834589]"
282,Кемерово,6879.0,3232.0,306.0,2149.0,"[86.086847, 55.355198]"
283,Кемля,69.0,,,,"[45.244063, 54.695216]"
284,Керчь,500.0,115.0,399.0,,"[36.467378, 45.356219]"
285,Кизел,39.0,,,,"[57.653875, 59.04943]"
286,Кизильское,64.0,,,,"[58.899641, 52.722801]"
287,Кизляр,276.0,,,,"[46.710338, 43.850312]"
288,Ким,81.0,,,,"[54.612188, 53.897122]"
289,Кимры,143.0,,,61.0,"[37.358274, 56.872659]"
290,Кингисепп,103.0,146.0,104.0,,"[28.601209, 59.378053]"
291,Кинешма,89.0,68.0,,,"[42.169525, 57.443126]"
292,Киржач,82.0,,,,"[38.871585, 56.161945]"
293,Кириши,137.0,128.0,,,"[32.008716, 59.449695]"
294,Киров,7884.0,5369.0,1597.0,4079.0,"[34.307999, 54.079614]"
295,Киров,7884.0,5369.0,1597.0,4079.0,"[49.668023, 58.603595]"
296,Кировград,30.0,26.0,34.0,,"[60.062321, 57.431916]"
297,Кирово-Чепецк,68.0,60.0,,,"[50.043941, 58.556581]"
298,Кировск,242.0,,,,"[30.981457, 59.87533]"
299,Кировск,242.0,,,,"[33.668237, 67.61206]"
300,Кирс,25.0,,25.0,,"[52.241516, 59.339991]"
301,Киселевск,159.0,,,,"[86.636688, 54.006025]"
302,Кисловодск,139.0,,,34.0,"[42.715718, 43.905518]"
303,Кичкасс,65.0,,,,"[54.407956, 52.31639]"
304,Клинцы,121.0,,,,"[32.233852, 52.753143]"
305,Ковров,3004.0,,,848.0,"[41.310933, 56.362506]"
306,Ковылкино,68.0,,,,"[43.91505, 54.0379]"
307,Когалым,61.0,47.0,,,"[74.482761, 62.264069]"
308,Кодинск,51.0,,,,"[99.179712, 58.603412]"
309,Кожевниково,27.0,,,,"[83.968862, 56.259493]"
310,Козулька,33.0,,,,"[91.391983, 56.165469]"
311,Коломна,998.0,,,498.0,"[38.765556, 55.095956]"
312,Колышлей,44.0,,,,"[44.530944, 52.697617]"
313,Кольчугино,87.0,,,,"[39.376501, 56.293647]"
314,Коммунар,74.0,,,,"[30.393483, 59.621609]"
315,Коммунар,74.0,,,,"[37.738602, 51.850795]"
316,Комсомольск-на-Амуре,2495.0,1868.0,1065.0,1435.0,"[137.008685, 50.550055]"
317,Комсомольский,56.0,84.0,,,"[45.827967, 54.440497]"
318,Конаково,51.0,,,,"[36.779354, 56.713242]"
319,Копейск,207.0,,197.0,,"[61.611574, 55.115697]"
320,Кораблино,56.0,,,,"[40.034463, 53.926817]"
321,Кореновск,213.0,,,,"[39.448033, 45.462742]"
322,Коркино,214.0,,,,"[61.393049, 54.892493]"
323,Королев,540.0,,,,"[37.815211, 55.918953]"
324,Королёв,1552.0,,,3054.0,"[37.815211, 55.918953]"
325,Коряжма,59.0,,,,"[47.159864, 61.315335]"
326,Костомукша,85.0,,,,"[30.596637, 64.587358]"
327,Кострома,2410.0,110.0,115.0,1029.0,"[40.926894, 57.767918]"
328,Котлас,120.0,,,,"[46.633226, 61.252975]"
329,Котовск,61.0,47.0,,,"[41.50575, 52.59292]"
330,Кочубеевское,,,82.0,,"[41.82423, 44.690728]"
331,Красная Пойма,92.0,,,,"[39.081889, 55.003105]"
332,Красноармейск,39.0,,,,"[38.141578, 56.120342]"
333,Красноармейск,39.0,,,,"[45.695178, 51.023973]"
334,Красноармейское,37.0,,,,"[50.034823, 52.710292]"
335,Красноборск,49.0,,,,"[45.944111, 61.55949]"
336,Красновишерск,10.0,,,,"[57.083301, 60.412825]"
337,Красногорск,152.0,,,,"[37.330399, 55.831003]"
338,Краснодар,6248.0,2167.0,,5076.0,"[38.975313, 45.03547]"
339,Красное Поле,78.0,,,,"[40.693691, 44.894224]"
340,Краснокаменск,155.0,77.0,,73.0,"[118.034146, 50.098683]"
341,Краснокамск,108.0,,,,"[55.736376, 58.078362]"
342,Красномайский,98.0,,,,"[34.414818, 57.62227]"
343,Краснотурьинск,64.0,,144.0,,"[60.193574, 59.763534]"
344,Красноуральск,53.0,,,,"[60.038749, 58.356726]"
345,Красноуфимск,147.0,,,,"[57.770791, 56.617928]"
346,Красноярск,8199.0,6778.0,7241.0,8148.0,"[92.852572, 56.010569]"
347,Красные Баки,24.0,,,,"[45.166619, 57.127364]"
348,Красный Октябрь,19.0,,,,"[64.811292, 55.652695]"
349,Красный Сулин,137.0,,,,"[40.057495, 47.893519]"
350,Красный Яр,32.0,,,,"[48.021312, 56.033435]"
351,Красный Яр,32.0,,,,"[50.389343, 53.498062]"
352,Красный Яр,32.0,,,,"[48.349233, 46.534259]"
353,Кропоткин,232.0,,,,"[40.576003, 45.434693]"
354,Крымск,398.0,,,,"[37.987894, 44.935414]"
355,Кстово,217.0,219.0,,,"[44.206805, 56.150665]"
356,Кубанский,72.0,,,,"[40.58009, 45.92922]"
357,Кудымкар,197.0,,91.0,,"[54.664183, 59.014548]"
358,Кузнецк,239.0,,,,"[46.601174, 53.119335]"
359,Куйбышев,116.0,133.0,,,"[78.311111, 55.445972]"
360,Кулебаки,102.0,,117.0,,"[42.512492, 55.429716]"
361,Кулун,42.0,,,,"[89.783666, 55.332673]"
362,Кумертау,1197.0,,116.0,,"[55.796698, 52.756185]"
363,Кунгур,69.0,,,,"[56.944215, 57.42881]"
364,Курган,2498.0,,329.0,1345.0,"[65.341118, 55.441004]"
365,Курск,4401.0,1222.0,340.0,549.0,"[36.193015, 51.730846]"
366,Кущевская,74.0,,,,"[39.628191, 46.565699]"
367,Кызыл,444.0,,,,"[94.43799, 51.71989]"
368,Кыштым,102.0,,,,"[60.538958, 55.707882]"
369,Лабинск,124.0,,,,"[40.723578, 44.635715]"
370,Лабытнанги,126.0,,,,"[66.37993, 66.660883]"
371,Лагань,77.0,,,,"[47.354142, 45.392903]"
372,Лангепас,90.0,,,,"[75.180725, 61.253706]"
373,Ленинградская,100.0,,,,"[39.392886, 46.320553]"
374,Лениногорск,983.0,,98.0,,"[52.442676, 54.599028]"
375,Ленинск,105.0,,,,"[45.199228, 48.693682]"
376,Ленск,156.0,96.0,,,"[114.911853, 60.713735]"
377,Лермонтов,,,159.0,,"[42.973184, 44.10535]"
378,Лесной,837.0,,,268.0,"[59.79863, 58.635513]"
379,Лесосибирск,754.0,,,,"[92.503666, 58.221733]"
380,Ливны,807.0,,,,"[37.60805, 52.426549]"
381,Ликино-Дулево,277.0,,,,"[38.958712, 55.707086]"
382,Липецк,4534.0,1235.0,4437.0,1856.0,"[39.599229, 52.608826]"
383,Лиски,215.0,,,150.0,"[39.497099, 50.987304]"
384,Луга,62.0,,63.0,,"[29.847945, 58.735207]"
385,Луховицы,108.0,,,,"[39.02605, 54.96515]"
386,Лысково,67.0,,,,"[45.040971, 56.021362]"
387,Лысьва,790.0,,175.0,112.0,"[57.811664, 58.100417]"
388,Лыткарино,112.0,,,,"[37.908986, 55.579302]"
389,Люберцы,95.0,125.0,,,"[37.893328, 55.676748]"
390,Любим,40.0,,,,"[40.686882, 58.362004]"
391,Лянтор,115.0,,,,"[72.155361, 61.620667]"
392,Магадан,101.0,52.0,,,"[150.808586, 59.565155]"
393,Магнитогорск,4564.0,1557.0,5980.0,2407.0,"[58.980291, 53.407163]"
394,Майкоп,1040.0,193.0,,1782.0,"[40.105852, 44.606683]"
395,Майский,85.0,,,,"[44.051756, 43.628254]"
396,Майский,85.0,,,,"[36.455233, 50.523238]"
397,Максатиха,21.0,,,,"[35.869864, 57.795725]"
398,Малояз,54.0,,,,"[58.155889, 55.179724]"
399,Мангут,24.0,,,,"[112.672713, 49.695882]"
400,Маркс,,,81.0,,"[46.740144, 51.712591]"
401,Массандра,148.0,,,,"[34.186035, 44.514701]"
402,Махачкала,651.0,800.0,,322.0,"[47.504745, 42.9831]"
403,Мегион,79.0,62.0,,,"[76.102621, 61.03289]"
404,Медвенка,28.0,,,,"[36.109148, 51.419546]"
405,Медногорск,133.0,,150.0,,"[57.582944, 51.403446]"
406,Междуреченск,156.0,,,,"[88.080398, 53.685199]"
407,Междуреченский,38.0,,,,"[65.900364, 59.596753]"
408,Мелеуз,1410.0,96.0,,18.0,"[55.927672, 52.959143]"
409,Миасс,771.0,,191.0,1045.0,"[60.109599, 55.050432]"
410,Микунь,110.0,,,,"[50.082532, 62.356493]"
411,Миллерово,47.0,,,,"[40.394849, 48.92173]"
412,Минеральные Воды,,,,433.0,"[43.13834, 44.208806]"
413,Мирный,96.0,59.0,,55.0,"[113.978701, 62.541028]"
414,Мирный,96.0,59.0,,55.0,"[40.326613, 62.761555]"
415,Мирный,96.0,59.0,,55.0,"[61.733762, 55.251501]"
416,Михайловка,281.0,158.0,,,"[43.23445, 50.07938]"
417,Михайловка,281.0,158.0,,,"[55.889629, 54.807658]"
418,Михайловск,104.0,,,,"[59.125926, 56.444862]"
419,Михайловск,104.0,,,,"[42.028803, 45.129667]"
420,Михайловское,67.0,,,,"[44.62975, 43.099153]"
421,Михайловское,67.0,,,,"[79.721223, 51.820014]"
422,Мичуринск,451.0,,,656.0,"[40.49802, 52.893913]"
423,Мичуринский,209.0,,,,"[34.235424, 53.274777]"
424,Можга,71.0,,,,"[52.213022, 56.440244]"
425,Моздок,100.0,,,105.0,"[44.653887, 43.735433]"
426,Моздок,100.0,,,105.0,"[44.653887, 43.735433]"
427,Мончегорск,86.0,,88.0,111.0,"[32.937071, 67.938921]"
428,Моршанск,,,80.0,,"[41.811627, 53.443611]"
429,Москва,57536.0,14212.0,25323.0,60524.0,"[37.617644, 55.755819]"
430,Московское,85.0,,,,"[41.918652, 45.284999]"
