prof_domain,type,speciality,code,code_group
Судостроение,СПО,Контролер ОТК,15.01.29,15
Судостроение,СПО,Разнорабочий,08.01.05,08
Судостроение,СПО,Механик,26.01.04,26
Судостроение,СПО,Монтажник,26.02.04,26
Судостроение,СПО,Монтажник,26.01.03,26
Судостроение,СПО,Монтажник,26.01.05,26
Судостроение,СПО,Слесарь,15.01.30,15
Судостроение,СПО,Сварщик,15.01.05,15
Судостроение,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.26,15
Судостроение,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.27,15
Судостроение,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.28,15
Судостроение,ВПО,Инженер-проектировщик,26.03.02,26
Судостроение,ВПО,Специалист по сертификации,27.03.01,27
Судостроение,ВПО,Технолог,26.03.02,26
Судостроение,ВПО,Инженер по качеству,27.03.02,27
Авиастроение и космическая отрасль,СПО,Контролер ОТК,15.01.29,15
Авиастроение и космическая отрасль,СПО,Механик,24.01.03,24
Авиастроение и космическая отрасль,СПО,Монтажник,24.01.01,24
Авиастроение и космическая отрасль,СПО,Монтажник,24.01.02,24
Авиастроение и космическая отрасль,СПО,Слесарь,15.01.30,15
Авиастроение и космическая отрасль,СПО,Сварщик,15.01.05,15
Авиастроение и космическая отрасль,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.26,15
Авиастроение и космическая отрасль,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.27,15
Авиастроение и космическая отрасль,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.28,15
Авиастроение и космическая отрасль,СПО,Мастер по ремонту оборудования,24.01.04,24
Авиастроение и космическая отрасль,СПО,Инженер-конструктор,24.02.02,24
Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,24.03.04,24
Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,24.03.05,24
Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,24.03.02,24
Авиастроение и космическая отрасль,ВПО,Инженер-проектировщик,24.03.03,24
Авиастроение и космическая отрасль,ВПО,Специалист по сертификации,27.03.01,27
Авиастроение и космическая отрасль,ВПО,Технолог,24.03.04,24
Авиастроение и космическая отрасль,ВПО,Инженер по качеству,27.03.02,27
Цветная металлургия,СПО,"Оператор, аппаратчик",22.01.05,22
Цветная металлургия,СПО,"Оператор, аппаратчик",22.01.06,22
Цветная металлургия,СПО,"Оператор, аппаратчик",22.02.02,22
Цветная металлургия,СПО,"Оператор, аппаратчик",22.01.08,22
Цветная металлургия,СПО,"Оператор, аппаратчик",22.01.09,22
Цветная металлургия,СПО,"Оператор, аппаратчик",22.01.10,22
Цветная металлургия,СПО,"Оператор, аппаратчик",18.01.30,18
Цветная металлургия,СПО,Контролер ОТК,22.01.04,22
Цветная металлургия,СПО,Контролер ОТК,15.01.29,15
Цветная металлургия,СПО,Машинист,22.01.03,22
Цветная металлургия,СПО,Машинист,18.01.31,18
Цветная металлургия,СПО,Машинист,22.01.09,22
Цветная металлургия,СПО,Разнорабочий,22.01.01,22
Цветная металлургия,СПО,Разнорабочий,22.01.02,22
Цветная металлургия,СПО,Разнорабочий,22.02.05,22
Цветная металлургия,СПО,Разнорабочий,22.02.07,22
Цветная металлургия,СПО,Разнорабочий,15.01.25,15
Цветная металлургия,СПО,Слесарь,15.01.30,15
Цветная металлургия,СПО,Сварщик,22.02.06,22
Цветная металлургия,СПО,Сварщик,15.01.05,15
