city,postgraduates_per_100_students,citations_per_100_researchers,publications_per_100_researchers,rnd_volume,grants,coordinates
Дзержинск,0,0.0,0.0,91720.8,0.0,"[43.461634, 56.238382]"
Дзержинский,0,0.0,0.0,0.0,0.0,"[37.849616, 55.630944]"
Димитровград,1248,0.0,0.0,2572.0,0.0,"[49.623924, 54.217515]"
Дмитров,0,0.0,0.0,0.0,0.0,"[37.517608, 56.342905]"
Долгопрудный,2326,7877.82,79140.0,7459578.4,6144.0,"[37.51423, 55.933302]"
Домодедово,0,0.0,0.0,4732.0,0.0,"[37.768004, 55.437174]"
Дубна,954,49208.12,117226.0,109777.2,284.0,"[37.162189, 56.736345]"
Евпатория,0,0.0,0.0,0.0,0.0,"[33.367643, 45.190635]"
Егорьевск,0,0.0,0.0,0.0,0.0,"[39.035842, 55.383055]"
Ейск,0,0.0,0.0,60000.0,0.0,"[38.27266, 46.711944]"
Екатеринбург,10834,611765.9400000001,941813.44,5675821.0,6288.0,"[60.597474, 56.838011]"
Елабуга,250,0.0,0.0,38179.0,0.0,"[52.053939, 55.757496]"
Елец,510,5814.56,2340.44,67953.2,7750.0,"[38.500446, 52.621938]"
Ессентуки,158,32374.0,14630.0,27138.0,0.0,"[42.85891, 44.044526]"
Жуковский,0,0.0,0.0,9775.0,0.0,"[38.119811, 55.59748]"
Заокский,0,0.0,10094.0,0.0,0.0,
Зеленоград,772,2172.88,39236.0,1491663.4,3544.0,
Зеленодольск,0,0.0,0.0,96040.0,0.0,"[48.492802, 55.847048]"
Зерноград,526,0.0,0.0,35450.2,0.0,"[40.312824, 46.849564]"
Златоуст,0,0.0,0.0,16123.8,0.0,"[59.672425, 55.173113]"
Знаменск,0,0.0,0.0,0.0,0.0,"[45.723188, 48.587337]"
Ивангород,0,0.0,0.0,0.0,0.0,"[28.219712, 59.37649]"
Иваново,4098,188887.78,315564.0,508335.2,6966.0,"[40.97393, 57.000353]"
Ижевск,4740,19715.68,320864.0,586578.4,772.0,"[53.2069, 56.852676]"
Избербаш,0,0.0,0.0,0.0,0.0,"[47.871087, 42.565148]"
Инза,0,0.0,0.0,0.0,0.0,"[46.351649, 53.85704]"
Иннополис,1408,0.0,30842.0,1531326.0,0.0,"[48.744618, 55.752085]"
Иноземцево,0,0.0,0.0,8531.8,0.0,
Иркутск,6632,199019.82,435726.0,1782514.6,1602.0,"[104.280606, 52.289588]"
Ишим,0,0.0,0.0,6474.2,0.0,"[69.457073, 56.109175]"
Ишимбай,0,0.0,0.0,2400.0,0.0,"[56.04395, 53.454626]"
Йошкар-Ола,896,128620.0,232694.28,267058.4,3520.0,"[47.886178, 56.6316]"
Казань,12572,695582.08,1097592.0,8821747.6,7758.0,"[49.106414, 55.796127]"
Калининград,2082,193277.34,114056.0,1125269.2,3712.0,"[20.510137, 54.710162]"
Калуга,978,18701.9,216752.0,159625.4,210.0,"[36.261224, 54.513845]"
Каменск-Уральский,0,0.0,0.0,0.0,0.0,"[61.917764, 56.41524]"
Каменск-Шахтинский,0,0.0,0.0,2516.2,0.0,"[40.269534, 48.323133]"
Камышин,0,0.0,0.0,3615.8,0.0,"[45.402166, 50.085287]"
Караваево,368,25824.0,48638.0,52976.0,0.0,"[41.075457, 57.738662]"
Карачаевск,330,146180.0,38054.0,36916.6,98.0,"[41.911475, 43.769958]"
Карачев,0,0.0,0.0,0.0,0.0,"[34.982805, 53.121594]"
Каспийск,0,0.0,0.0,176960.0,0.0,"[47.635665, 42.890853]"
Кемерово,4814,170237.34,511810.0,1470672.7999999998,3550.0,"[86.086847, 55.355198]"
Керчь,502,62480.0,124960.0,13174.4,214.0,"[36.467378, 45.356219]"
Кизляр,0,0.0,0.0,190040.0,0.0,"[46.710338, 43.850312]"
Киров,42374,446267.38,302854.0,484977.2,422.0,"[34.307999, 54.079614]"
Киров,42374,446267.38,302854.0,484977.2,422.0,"[49.668023, 58.603595]"
Кисловодск,0,0.0,0.0,52000.0,0.0,"[42.715718, 43.905518]"
Клин,294,0.0,36250.0,16188.0,0.0,"[36.728725, 56.331588]"
Княгинино,920,7436.56,43204.0,30013.0,492.0,"[45.032249, 55.820566]"
Ковров,0,53314.0,31362.0,9621.0,0.0,"[41.310933, 56.362506]"
Кокино,716,2601.52,48550.0,89400.0,306.0,"[34.123027, 53.154935]"
Коломна,182,33342.0,22646.0,154669.2,2276.0,"[38.765556, 55.095956]"
Комсомольск-на-Амуре,900,66844.59,175038.0,105558.9,1572.0,"[137.008685, 50.550055]"
Королёв,1300,2769.58,34954.0,99733.0,0.0,"[37.815211, 55.918953]"
Коряжма,0,0.0,0.0,0.0,0.0,"[47.159864, 61.315335]"
Кострома,878,3127.12,74662.0,38079.2,518.0,"[40.926894, 57.767918]"
Котельники,0,0.0,0.0,0.0,0.0,"[37.850523, 55.660191]"
Котлас,0,0.0,0.0,117200.0,0.0,"[46.633226, 61.252975]"
Красково,0,5676.48,135294.0,16400.0,0.0,"[37.98846, 55.658886]"
Красногорск,0,0.0,0.0,6213.0,0.0,"[37.330399, 55.831003]"
Краснодар,9054,251517.22,622158.5,1222059.8,7254.0,"[38.975313, 45.03547]"
Краснотурьинск,0,0.0,0.0,0.0,0.0,"[60.193574, 59.763534]"
Красноярск,6484,118208.78,378608.3,2183163.4,10916.0,"[92.852572, 56.010569]"
Красный Воин,0,0.0,0.0,2323.2,0.0,
Куйбышев,0,0.0,0.0,2006.4,0.0,"[78.311111, 55.445972]"
Кумертау,0,2171.42,64286.0,15039.0,0.0,"[55.796698, 52.756185]"
Курган,276,2253.14,61140.0,183141.8,0.0,"[65.341118, 55.441004]"
Курск,4644,151187.14,604996.0,1057292.4,3604.0,"[36.193015, 51.730846]"
Кызыл,386,135502.0,51300.0,140647.8,3590.0,"[94.43799, 51.71989]"
Лениногорск,0,0.0,0.0,4328.0,0.0,"[52.442676, 54.599028]"
Лермонтов,0,0.0,0.0,170000.0,0.0,"[42.973184, 44.10535]"
Лесниково,496,90130.08,2926.82,34919.2,272.0,
Лесной,0,0.0,0.0,10010.4,0.0,"[59.79863, 58.635513]"
Лесосибирск,0,0.0,0.0,17000.0,0.0,"[92.503666, 58.221733]"
Ливны,0,0.0,0.0,0.0,0.0,"[37.60805, 52.426549]"
Липецк,742,110849.86,93173.92,221311.2,2278.0,"[39.599229, 52.608826]"
Луга,0,0.0,0.0,2626.6,0.0,"[29.847945, 58.735207]"
Лысьва,0,0.0,0.0,9587.6,0.0,"[57.811664, 58.100417]"
Люберцы,1358,7538.98,136060.0,95015.0,0.0,"[37.893328, 55.676748]"
Магадан,130,69573.0,20944.0,26183.5,449.0,"[150.808586, 59.565155]"
Магнитогорск,5985,79987.74,183681.0,739411.2,906.0,"[58.980291, 53.407163]"
