,city,Авиастроение и космическая отрасль,Добыча нефти и газа,Добыча угля и металлических руд,Машиностроение,Судостроение,Фармацевтика,Химическая промышленность,Цветная металлургия,Черная металлургия,Электроника и микроэлектроника,coordinates
914,Старая Русса,31.5,,,252.0,94.5,56.0,,36.75,36.75,21.0,"[31.355461, 57.99072]"
915,Стародеревянковская,,,,,127.0,142.0,,,,,"[38.965809, 46.125839]"
916,Стародуб,,,,,62.0,,,,,,"[32.760355, 52.585277]"
917,Старое Дрожжаное,,,,,,88.0,,,,,"[47.56309, 54.724235]"
918,Староминская,17.5,,,140.0,88.5,79.0,,20.416666666666668,20.416666666666668,11.666666666666666,"[39.062629, 46.538766]"
919,Старосубхангулово,5.5,,,44.0,5.5,,,6.416666666666667,6.416666666666667,3.6666666666666665,"[57.441612, 53.102183]"
920,Старощербиновская,136.0,,,,109.0,122.0,,,,,"[38.666787, 46.633433]"
921,Старый Оскол,1260.25,4987.321428571428,4080.535714285714,6435.0,2194.25,1739.75,771.7142857142858,6110.477380952381,5942.344047619048,1023.4761904761905,"[37.833231, 51.297974]"
922,Старый Черек,,204.28571428571428,167.14285714285714,,,3.714285714285714,,,,,"[43.853336, 43.469343]"
923,Степное,19.0,,,152.0,19.0,,,22.166666666666668,22.166666666666668,12.666666666666666,"[46.844169, 51.377801]"
924,Степное Озеро,,,,,144.0,508.0,,,,,"[79.854237, 52.779766]"
925,Стерлитамак,1615.25,2221.607142857143,1817.6785714285713,5187.0,2114.25,7089.821428571428,6405.285714285714,2419.739285714286,2408.6059523809527,2133.023809523809,"[55.930825, 53.630403]"
926,Стрежевой,16.5,41.25,33.75,132.0,16.5,0.75,,19.25,19.25,11.0,"[77.604011, 60.732867]"
927,Стрелецкий,49.0,,,392.0,49.0,,,57.16666666666667,57.16666666666667,32.666666666666664,"[35.973655, 53.011729]"
928,Строитель,16.5,227.85714285714286,186.42857142857142,132.0,230.5,86.14285714285714,,19.25,19.25,11.0,"[36.486998, 50.785172]"
929,Строитель,16.5,227.85714285714286,186.42857142857142,132.0,230.5,86.14285714285714,,19.25,19.25,11.0,"[36.058771, 55.498296]"
930,Строитель,16.5,227.85714285714286,186.42857142857142,132.0,230.5,86.14285714285714,,19.25,19.25,11.0,"[41.450028, 52.649155]"
931,Ступино,1559.0,,,1313.0,368.0,393.0,97.0,901.5333333333333,879.1333333333334,198.33333333333331,"[38.078237, 54.88628]"
932,Субханкулово,18.5,,,148.0,18.5,,,21.583333333333336,21.583333333333336,12.333333333333332,"[53.808277, 54.556175]"
933,Сунжа,,60.89285714285714,49.82142857142857,,33.0,211.10714285714286,,,,,"[45.047682, 43.320353]"
934,Сунтар,7.5,47.14285714285714,38.57142857142857,60.0,37.5,0.8571428571428571,,8.75,8.75,5.0,"[117.647601, 62.160619]"
935,Сураж,,,,,49.0,60.0,,,,,"[32.393043, 53.013891]"
936,Сургут,993.25,5903.25,5065.75,1954.0,3206.25,3813.535714285714,1221.857142857143,1544.5345238095238,1526.667857142857,2447.5714285714284,"[73.393032, 61.241778]"
937,Суровикино,17.0,,,136.0,80.0,60.0,,19.833333333333336,19.833333333333336,11.333333333333332,"[42.844249, 48.60538]"
938,Сухиничи,10.0,,,80.0,51.0,,,11.666666666666668,11.666666666666668,6.666666666666666,"[35.337981, 54.101551]"
939,Сухой Лог,22.25,68.75,56.25,178.0,151.25,60.96428571428571,141.14285714285714,36.81547619047619,36.81547619047619,20.26190476190476,"[62.035542, 56.905431]"
940,Сызрань,899.75,,,5490.0,1323.75,1698.0,1232.0,1085.0416666666667,1085.0416666666667,719.1666666666666,"[48.474611, 53.155669]"
